firstName;lastName;email;phoneNumber;dateOfBith;gender;country;verified;firstTime
Stefan;Wąski;stefan.waski@test.pl;48500500500;01.01.1970;M;PL;false;true
Lilia;Sadowska;lili.sadi@test.pl;4856784493;01.01.1989;F;PL;true;false
Michał;Lubicz;michal.lub@test.pl;48560500500;08.07.1997;M;PL;false;true
Ludmiła;Bogusz;lumabogusz@test.pl;48500500650;06.01.1992;F;PL;true;true
Wiktor;Podolak;wiktor.podolaki@test.pl;49567455902;12.12.1998;M;DE;false;true
Aneta;Łącka;aneta.łacka@test.pl;33675500560;08.08.1976;F;FR;true;false
Igor;Krupski;igor.krupski@test.pl;48504567233;14.05.1967;M;PL;true;true
Marianna;Kuleba;kuleba.mari@test.pl;48546507800;15.11.1986;F;PL;false;true
Stanisław;Długi;staszek.dl@test.pl;48560987453;10.09.1989;M;PL;false;false
Agnieszka;Wierzkowska;agawierz@test.pl;48657430485;19.02.1991;F;PL;true;true
